id,name,ingredients,preparation,image,category_id,proportion,time_prep,time_cook,description
791,Cassolettes de moules au safran,"[""-  1 kg de moules de bouchot"", ""-  1 grosse échalote hachée"", ""-  3 branches de persil"", ""-  40 cl de vin blanc sec"", ""-  50 g de carottes"", ""-  50 g de céleri en branche"", ""-  1 noix de beurre"", ""-  2 cuil. à soupe de fumet de poisson déshydraté"", ""-  1 jaune d'œuf"", ""-  20 cl de crème fraîche liquide légère"", ""-  2 mini"", ""- dosettes de safran (soit 1/2 cuil. à café)"", ""-  Sel, poivre du moulin""]","[""Lavez et grattez les moules sans les faire tremper. Dans un faitout, réunissez l'échalote, le persil et le vin blanc. Laissez mijoter 5 min, puis ajoutez les moules. Une fois celles-ci ouvertes, laissez-les mijoter encore 3 min après les avoir remuées de façon à ce qu'elles cuisent uniformément. Sortez-les et retirez les coquilles, puis décortiquez-les et répartissez-les dans les cassolettes. Filtrez le liquide de cuisson à l'aide d'un chinois ou d'une très fine passoire et réservez-le."", ""Préchauffez le four à 180 °C (th. 6). Coupez les carottes et le céleri en fine julienne (bâtonnets très fins). Dans une casserole, mettez le beurre et faites-y suer les carottes 5 min. Diluez le fumet de poisson dans 1/4 de litre d'eau et versez-le sur les carottes. Portez à ébullition, ajoutez le jus de cuisson des moules et laissez réduire pendant 10 min environ. Battez le jaune d'oeuf, la crème et le safran, puis versez le tout dans le fumet. Salez, poivrez et recouvrez les moules de cette Préparation. Passez 10 min au four et servez aussitôt.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/077cb9fdfb6f8526f1cde1a4bf2a53af69d122ae.jpeg,817,4 pers.,00H25,00:25,"Un classique simple, iodé et crémé, qui s'accorde à tous les blancs. Le goût de la carotte un peu safranée facilite aussi l'accord avec des blancs plutôt méditerranéens et pourquoi pas rosés. Privilégiez un vin blanc sec avec du volume, de la rondeur et une pointe de vivacité ("
793,Filets de sole bonne-femme,"[""-  150 g de champignons de Paris"", ""-  1 échalote"", ""-  1 cuil. à café de persil haché"", ""-  10 cl de vin blanc sec"", ""-  800 g de filets de sole"", ""-  20 cl de crème liquide légère"", ""-  70 g de beurre""]","[""Réalisez un fumet de poisson, puis dans une grande poêle à hauts rebords, étalez les champignons lavés et coupés en lamelles, l'échalote, le persil et le vin blanc. Déposez les filets de sole sur les champignons et versez le fumet de poisson filtré. Recouvrez le tout d'un papier sulfurisé et laissez cuire à feu doux pendant 8 min."", ""Retirez les filets de la poêle, puis versez la crème et laissez réduire de moitié. Hors du feu ou à feu très doux, ajoutez le beurre par petits morceaux, tout en remuant à l'aide d'un fouet pour que la sauce monte."", ""Disposez les filets dans les cassolettes, recouvrez de sauce et passez au gril pour faire dorer. Servez chaud.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/1f43636741a605b090abf31740fbd5e65db6d713.jpeg,816,4 pers.,00H30,00:25,Un grand classique de la cuisine traditionnelle. La présence des champignons influence l'accord. La qualité des soles et la cuisson jouent également un rôle important. On optera pour
1182,Tournedos Rossini,[],[],"",818,"","","",""
1183,Sandre au beurre blanc,[],[],"",816,"","","",""
1184,Côtes de veau à la crème,[],[],"",826,"","","",""
1185,Navarin d'agneau,"[""- 2 kg d’épaule d’agneau"", ""- 4 oignons"", ""- 4 gousses d’ail"", ""- 800 g de tomates"", ""- 300 g de petits champignons de Paris"", ""- 1 botte de ciboulette"", ""- 40 g de farine"", ""- 1 petit bouquet garni"", ""- 20 cl de vin blanc ou rosé"", ""- 1 cuil. à soupe de concentré de tomates"", ""- 1 brin de thym frais"", ""- 50 cl de fond de volaille"", ""- 5 cuil à soupe d’huile d’arachide"", ""- 4 cuil. à soupe d’huile d’olive"", ""- Sel, poivre du moulin\r\n \r\nRecette extraite du livre Cocottes &amp; mijotés"", ""-  Recettes gourmandes à réaliser à la maison de Stéphan Lagorce""]","[""Détaillez l’épaule d’agneau en morceaux et assaisonnez-les. Épluchez puis hachez les oignons et les gousses d’ail. Coupez les tomates en tranches. Nettoyez les champignons. Hachez la ciboulette."", ""Dans une grande cocotte, faites chauffer l’huile d’arachide à feu vif. Faites ensuite colorer les morceaux de viande pendant 10 min environ, puis saupoudrez-les de farine. Mélangez et poursuivez la cuisson encore 1 ou 2 min. Ajoutez les oignons et l’ail. Laissez cuire 5 min environ en mélangeant de temps en temps."", ""Ajoutez le bouquet garni, le vin, le concentré de tomates, les tranches de tomate, le thym et le fond de volaille. Couvrez et laissez mijoter à couvert pendant 1 h environ."", ""Dégraissez la sauce avec une cuillère puis ajoutez les champignons et comptez encore 40 min de cuisson. Finissez en ajoutant la ciboulette et l’huile d’olive. Salez et poivrez. Servez bien chaud.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/09/ff2245ffa7fecde6a59afdd208c4462b716ccce1.jpeg,825,4 pers.,00H25,02:00,". Il suffit de choisir des rouges tendres et fruités, à l’image des crus du Beaujolais."
869,Camembert,[],[],"",834,"","","",""
796,Far aux pruneaux,"[""-  500 g de pruneaux"", ""-  100 g de raisins secs"", ""-  50 cl de thé chaud"", ""-  250 g de farine"", ""-  4 œufs"", ""-  40 cl de lait"", ""-  10 g de beurre pour le moule"", ""-  2 grosses cuil. à soupe de sucre"", ""-  2 cuil. à soupe de rhum"", ""-  1 pincée de sel""]","[""Dénoyautez les pruneaux, puis faites-les tremper 8 h dans le thé."", ""Préchauffez le four à 200 °C (thermostat 7). Arrosez les raisins avec le rhum."", ""Mélangez la farine, les oeufs, le sucre, le lait et le sel jusqu'à ce que la pâte soit bien lisse et sans grumeaux."", ""Égouttez les pruneaux, ajoutez-les à la pâte ainsi que les raisins et le rhum. Mélangez bien. Beurrez un moule à manqué en Pyrex de 24 cm de diamètre ou un plat à gratin. Versez-y la pâte et faites cuire 1 h au four."", ""Servez, tiède ou froid, dans le plat de cuisson.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/39ebf84918e6daf6889f4c59acf8980a94d9d249.jpeg,821,8 pers.,01H30,-,"Dessert à base de pâte essentiellement, comparable à la texture de la génoise. Le principe est d'alléger ce plat et d'éviter l'ajout de sucre avec un vin liquoreux. On choisira donc plutôt un effervescent blanc ou rosé, ayant du corps et du bouquet. Les gourmands apprécieront quand même les vins de desserts. Un cidre doux conviendra également."
797,Daurade à la citronnelle,"[""-  1 dorade grise vidée (1,2 à 1,4 kg)"", ""-  2 tomates"", ""-  2 oignons nouveaux"", ""-  4 branches de citronnelle"", ""-  1 botte de coriandre"", ""-  1 botte de ciboulette"", ""-  1 piment rouge frais"", ""-  2 cuil. à soupe d'huile végétale"", ""-  Nuoc"", ""- mâm"", ""-  Sel, poivre""]","[""Préchauffez le four à 200 °C (th. 7). Hachez la citronnelle et les oignons nouveaux. Effeuillez la coriandre. Ébouillantez les tomates pour pouvoir ôter leur peau facilement. Épépinez-les et coupez-les en petits cubes. Hachez la ciboulette et le piment (après avoir retiré les graines)."", ""Dans un saladier, mélangez les trois quarts de la citronnelle aux oignons, à la tomate, à la ciboulette, au piment et aux trois quarts de la coriandre. Salez et poivrez. Farcissez la dorade de cette préparation."", ""Disposez la dorade dans un grand plat, incisez la peau et saupoudrez du reste de la citronnelle. Salez, poivrez et versez l'huile. Enfournez pendant 40 min. À la sortie du four, saupoudrez la dorade du reste des feuilles de coriandre et servez aussitôt accompagnée de riz blanc et de sauce nuoc-mâm.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/d56ba22f07e32ea3513370d42f1a6fa69eec15cf.jpeg,816,4 pers.,00H20,00:40,"Une préparation simple mais un poisson fin et élégant. La citronnelle apporte une certaine fraîcheur. On choisira donc un vin plutôt blanc, sec et minéral, fin mais avec du corps ("
799,"Gratin de courge à la ricotta, au basilic et aux pignons de pin","[""-  2 courges butternut"", ""-  500 g de ricotta"", ""-  100 g de pignons de pin"", ""-  1 botte de basilic"", ""-  2 gousses d'ail"", ""-  3 cuil. à soupe d'huile d'olive"", ""-  Sel, poivre""]","[""Épluchez les courges et coupez-les en morceaux. Effeuillez le basilic et hachez-le. Épluchez l'ail et hachez-le. Préchauffez le four à 180 °C (th. 6)."", ""Faites cuire la courge 15 min à la vapeur pour éviter qu'elle ne se gonfle d'eau. Laissez-la ensuite s'égoutter pendant 15 min. Dans un grand saladier, mélangez l'ail, le basilic et la ricotta. Ajoutez la courge et mélangez à nouveau. Salez et poivrez."", ""Huilez un plat à gratin et versez-y la courge à la ricotta. Lissez le dessus et saupoudrez de pignons de pins. Enfournez pour 15 min (la pointe d'un couteau doit s'enfoncer sans résistance dans la courge). Servez immédiatement.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/d9c0188059a5601bec4aae52e97f341ee7be03e7.jpeg,822,8 pers.,00H20,00:30,"C'est la ricotta qui justifie ici l'accord avec le vin. Optez pour un vin blanc de préférence, sec, aromatique, minéral et d'une belle vivacité."
800,Croustillants de caille,"[""-  12 feuilles de brick"", ""-  8 cailles"", ""-  4 pommes golden moyennes (pour la présentation)"", ""-  8 cuil. à soupe de compote de pomme non sucrée"", ""-  4 petits oignons"", ""-  400 g de raisin vert"", ""-  20 g de beurre"", ""-  1/4 de cuil. à café de gingembre"", ""-  8 cuil. à soupe d'huile de tournesol""]","[""Faites rôtir les cailles au four avec 2 cuillerées à soupe d'huile à 180 C (th. 5-6) pendant 25 à 30 min. Elles doivent être dorées et faciles à désosser. Laissez le four allumé."", ""Lavez, pelez et épépinez les raisins. Parfumez la compote avec le gingembre."", ""Dans une poêle, faites dorer les oignons coupés en lamelles."", ""Lorsque les cailles sont rôties, déchiquetez grossièrement la chair et réservez la sauce."", ""Dans une poêle, mélangez la compote, les oignons et les raisins. Laissez cuire pendant 3 min à feu doux. Versez les cailles et remuez délicatement."", ""Badigeonnez les feuilles de brick avec l'huile. Superposez-les trois par trois. Répartissez la farce au centre et repliez les côtés pour former 4 paquets de 10 cm de côté. Retournez-les et faites une incision en forme de croix sur le dessus à l'aide d'une paire de ciseaux."", ""Posez-les sur une plaque huilée allant au four. Faites cuire 10 min à 210 C (th. 7)."", ""Versez 1 cuillerée de sauce par l'ouverture de chaque croustillant."", ""Servez avec les pommes golden pelées, coupées en deux et cuites à la poêle dans le beurre.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/c8b1ac623854e07910904e2b465d1a3f3c4ea2a1.jpeg,823,4 pers.,00H30,00:50,"Un plat de contrastes : du brick croustillant à la chair fine et ferme de la caille, de l'acidité de la golden à la douceur de la compote « envoilée » par le gingembre. Choisir un vin rouge aux tanins fins, un vin épanoui plutôt qu'un vin jeune et vigoureux, ou alors un vin tendre. Allez du côté de la Bourgogne ("
803,"Coquelet caramélisé, sauce au foie gras","[""-  2 coquelets de 600 g chacun (fendus en deux)"", ""-  1 tranche de 150 g de pâté de foie gras"", ""-  2 cuil. à soupe de crème fraîche épaisse"", ""-  2 cuil. à soupe de miel"", ""-  1 petit verre de rhum"", ""-  1 verre de bouillon"", ""-  1 cuil. à café de gingembre en poudre"", ""-  4 cuil. à soupe d'huile de tournesol"", ""-  1 cuil. à café de poivre"", ""-  Sel""]","[""Badigeonnez les coquelets avec un mélange de sel, de gingembre, de poivre et la moitié de l'huile. Laissez macérer 1 h."", ""Faites chauffer le reste de l'huile dans une cocotte. Faites-y dorer les coquelets 5 min, puis mouillez avec le bouillon. Laissez mijoter à feu doux 30 min."", ""Retirez les coquelets. Déglacez la cocotte avec le rhum, ajoutez le miel et laissez-le caraméliser."", ""Passez le pâté de foie gras au tamis et ajoutez-le dans la cocotte avec la crème fraîche. Remuez jusqu'à ce que la sauce soit bien liée."", ""Servez les coquelets avec la sauce et un légume de votre choix.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/90edbec508a9e7bf921011b81e3447d3427dd74b.jpeg,815,4 pers.,00H10,00:45,"Les épices renforcent et pénètrent la chair tendre du coquelet. La sauce liée au foie gras permet d'envisager un vin dense et velouté. Les amateurs de rouge joueront sur l’harmonie des textures onctueuses et sur les arômes épicés, en choisissant un vin méridional rond et épicé. Côté blanc, le vin ne doit être ni trop svelte ni trop sec pour répondre à la richesse de la sauce. On le préférera demi-sec ou moelleux, et bien aromatique :"
802,Lapin chasseur,"[""-  1 lapin de 1,8 kg en morceaux"", ""-  500 g de champignons de Paris"", ""-  4 échalotes"", ""-  1 gousse d'ail"", ""-  10 cl de vin blanc sec"", ""-  5 cl de cognac"", ""-  1 cuil. à soupe de concentré de tomates"", ""-  1 cuil. à soupe d'huile"", ""-  25 g de beurre"", ""-  1 petit bouquet de persil plat"", ""-  Sel, poivre du moulin""]","[""Pelez les échalotes et la gousse d'ail, coupez les échalotes en rondelles fines et écrasez l'ail au presse-ail. Nettoyez les champignons et coupez-les en quatre. Lavez, épongez et hachez le persil."", ""Faites chauffer le beurre et l'huile à feu moyen dans l'autocuiseur, ajoutez les morceaux de lapin et faites-les dorer 2 ou 3 min en les retournant ; puis ajoutez les échalotes, l'ail et les champignons et faites-les revenir 2 min en remuant."", ""Versez le vin blanc, le cognac et 10 cl d'eau où vous aurez délayé le concentré de tomates. Salez et poivrez. Fermez l'autocuiseur et, dès la mise sous pression de la soupape, faites cuire à feu plus doux le temps indiqué."", ""Faites tomber la pression et gardez le lapin et les champignons au chaud. Faites au besoin réduire la sauce à feu vif, rectifiez l'assaisonnement et ajoutez le persil. Nappez le lapin de la sauce et servez.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/9cf9cb037736c53eb15b26196e375745c424b7e4.jpeg,824,6 pers.,00H15,00:18,"Un plat simple et classique, à la chair goutteuse, préservée par le mode de cuisson étouffé. La sauce est nappante, la chair se détache délicatement, c'est tendre et savoureux. Choisir plutôt un vin rouge malgré la cuisson au vin blanc. L'acidité du blanc serait atténuée par le salé-sucré de la réduction de sauce. Le rouge jouera une plus belle carte s'il possède des tanins fins :"
1194,Lièvre à la royale par Yoann Conte,"[""- 450 g de jambon fumé en dés 450 g de carottes en dés à faire suer au beurre sans coloration 450 g de céleri"", ""- rave en dés à faire suer au beurre sans coloration 350 g d’échalotes ciselés à faire suer au beurre sans coloration 50 g de cèpes séchés et réhydratés, taillés en dés 800 g d’escalope de dinde 800 g de chair de lièvre Foie et cœur taillés en dés et sautés 1 kg de gorge de porc blanchie 20 cl de jus de truffe 50 cl d’armagnac 20 cl de porto 2 kg de foie gras frais cru 12 g de poivre 60 g de sel 6 œufs 30 cl de sang frais 1 cuillère de cardamone ½ cuillère à café de muscade""]","[""Passez au hâchoir à la grille fine la chair de lièvre, dinde et gorge."", ""Mélangez avec tous les ingrédients puis passez au robot coupe."", ""Roulez les lièvres bien serrés dans des bandes, puis ficelez bien."", ""Mettez sous vide avec du jus de veau."", ""Faites cuire 24h à 68°c."", ""A part, préparez une gastrique : 20 g d’eau + 200 g de sucre + 200 g de vinaigre blanc. Laissez caraméliser puis déglacez avec 60 cl de vinaigre de Xeres."", ""A part, faites fondre 50 g de beurre avec 3 g de mignonette de poivre. Laissez cuire en beurre noisette et flambez à l’armagnac."", ""A part, faites une poivrade avec 3 échalotes revenues dans 10 g de poivre mignonette sans coloration. Flambez à l’armagnac, réduisez à sec et mouillez à hauteur avec du vin blanc puis réduisez de nouveau à sec."", ""Ensuite, ajoutez la gastrique et le poivre, flambez au jus déjà réduit de moitié et faites de nouveau réduire de moitié."", ""Passez au chinois fin, rajoutez de la confiture de myrtille et un peu de poivrade. Laissez infuser 2 h puis passez au chinois."", ""Pour terminer, rectifiez l’assaisonnement puis liez la sauce au sang et chocolat (mélangez le sang, l’armagnac, la crème liquide)."", ""Découpez en tranche le lièvre et ajoutez-y le jus de lièvre."", ""Pour préparer le jus de lièvre à la royale :"", ""Cassez les carcasses de lièvres en petits morceaux, puis faites sécher la moitié au four à 200 °C, et l’autre moitié dans une sauteuse à l’huile d’arachide."", ""Une fois les carcasses au four séchées et colorés, les réunir dans la sauteuse. Puis faire revenir le tout avec un petit peu de beurre et une garniture aromatique composée de : 1 oignon, 1 échalote, 1 blanc de poireaux et 4 gousses d’ail. Bien faire revenir la garniture aromatique et les carcasses 2650gr en ajoutant 6 baies de genièvre. Déglacer avec 70 cl d’armagnac et réduire à sec. Puis mouiller de vin rouge à hauteur (environ 1,5 litre) Puis rajouter 3 fèves de Tonka , 2 clous de girofle , 10 baies de genièvre, ½ cuillère a café de 4 épices , ½ litre de vinaigre de xéres, 10 cl de crème de cassis, 1 litre de Porto. Laisser réduire de moitié.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/d299e62e6aa0fe30feaf99225746a2e6531386f9.jpeg,824,6 pers.,01H00,23:00,Un vin-de-savoie Mondeuse 2009 de Jacques Maillet.
